PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;079;47;8;28079047_8_8;2023;10;29;10;V;10;V;9;V;5;V;3;V;6;V;7;V;11;V;12;V;15;V;10;V;10;V;13;V;10;V;14;V;10;V;12;V;11;V;12;V;23;V;0;N;0;N;0;N;0;N
28;079;47;9;28079047_9_47;2023;10;29;10;V;4;V;4;V;7;V;9;V;5;V;1;V;3;V;7;V;4;V;1;V;1;V;5;V;3;V;7;V;6;V;3;V;2;V;4;V;4;V;0;N;0;N;0;N;0;N
28;079;47;10;28079047_10_47;2023;10;29;13;V;6;V;8;V;12;V;14;V;9;V;4;V;5;V;12;V;8;V;7;V;4;V;10;V;8;V;12;V;12;V;7;V;5;V;8;V;9;V;0;N;0;N;0;N;0;N
28;079;47;12;28079047_12_8;2023;10;29;11;V;11;V;11;V;6;V;5;V;7;V;9;V;13;V;13;V;17;V;11;V;13;V;16;V;12;V;16;V;11;V;14;V;12;V;13;V;24;V;0;N;0;N;0;N;0;N
28;079;48;7;28079048_7_8;2023;10;29;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;1;V;1;V;1;V;2;V;1;V;1;V;0;N;0;N;0;N;0;N
28;079;48;8;28079048_8_8;2023;10;29;20;V;13;V;17;V;7;V;5;V;7;V;13;V;12;V;17;V;18;V;16;V;15;V;19;V;18;V;18;V;17;V;15;V;27;V;23;V;26;V;0;N;0;N;0;N;0;N
28;079;48;9;28079048_9_47;2023;10;29;1;V;2;V;3;V;8;V;4;V;4;V;1;V;1;V;4;V;9;V;11;V;13;V;2;V;7;V;2;V;9;V;8;V;6;V;4;V;12;V;0;N;0;N;0;N;0;N
28;079;48;10;28079048_10_47;2023;10;29;3;V;4;V;6;V;13;V;8;V;7;V;2;V;2;V;6;V;14;V;16;V;19;V;7;V;13;V;6;V;14;V;13;V;11;V;9;V;16;V;0;N;0;N;0;N;0;N
28;079;48;12;28079048_12_8;2023;10;29;22;V;15;V;18;V;8;V;6;V;9;V;15;V;14;V;18;V;20;V;18;V;17;V;22;V;21;V;20;V;19;V;17;V;30;V;25;V;28;V;0;N;0;N;0;N;0;N
28;079;49;7;28079049_7_8;2023;10;29;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;0;N;0;N;0;N;0;N
28;079;49;8;28079049_8_8;2023;10;29;9;V;10;V;11;V;4;V;3;V;4;V;4;V;7;V;9;V;12;V;8;V;7;V;7;V;6;V;9;V;7;V;6;V;10;V;11;V;16;V;0;N;0;N;0;N;0;N
28;079;49;12;28079049_12_8;2023;10;29;11;V;11;V;14;V;6;V;5;V;5;V;6;V;9;V;11;V;14;V;9;V;8;V;9;V;8;V;10;V;8;V;7;V;11;V;12;V;18;V;0;N;0;N;0;N;0;N
28;079;49;14;28079049_14_6;2023;10;29;59;V;54;V;48;V;66;V;70;V;64;V;64;V;63;V;59;V;54;V;63;V;70;V;71;V;75;V;70;V;72;V;72;V;63;V;60;V;53;V;0;N;0;N;0;N;0;N
28;079;50;7;28079050_7_8;2023;10;29;6;V;4;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;3;V;4;V;4;V;8;V;10;V;11;V;7;V;7;V;6;V;2;V;2;V;0;N;0;N;0;N;0;N
28;079;50;8;28079050_8_8;2023;10;29;19;V;16;V;12;V;8;V;7;V;6;V;9;V;11;V;14;V;18;V;19;V;19;V;25;V;25;V;31;V;28;V;23;V;32;V;28;V;29;V;0;N;0;N;0;N;0;N
28;079;50;9;28079050_9_47;2023;10;29;6;V;1;V;4;V;5;V;5;V;3;V;1;V;3;V;3;V;1;V;2;V;3;V;6;V;8;V;6;V;6;V;8;V;5;V;6;V;5;V;0;N;0;N;0;N;0;N
28;079;50;10;28079050_10_47;2023;10;29;10;V;3;V;8;V;9;V;9;V;7;V;3;V;7;V;7;V;5;V;9;V;11;V;16;V;17;V;14;V;14;V;14;V;11;V;10;V;10;V;0;N;0;N;0;N;0;N
28;079;50;12;28079050_12_8;2023;10;29;29;V;23;V;14;V;10;V;9;V;7;V;10;V;12;V;17;V;22;V;25;V;25;V;36;V;40;V;47;V;39;V;34;V;41;V;31;V;32;V;0;N;0;N;0;N;0;N
28;079;54;7;28079054_7_8;2023;10;29;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;2;V;2;V;2;V;1;V;1;V;1;V;1;V;2;V;2;V;0;N;0;N;0;N;0;N
28;079;54;8;28079054_8_8;2023;10;29;4;V;4;V;5;V;1;V;1;V;1;V;5;V;5;V;8;V;8;V;7;V;6;V;5;V;4;V;5;V;4;V;4;V;7;V;17;V;20;V;0;N;0;N;0;N;0;N
